Topic,Source,Last Updated,Question,Answer
,World Health Organization,3/29/2021,"How does SARS-CoV-2 change when it infects animals, and what are the implications?","SARS-CoV-2 spreads primarily through human-to-human transmission, but there is evidence of transmission between humans and animals. Several animals like mink, dogs, domestic cats, lions,tigers and raccoon dogs have tested positive for SARS-CoV-2 after contact with infected humans.There have been reports of large animal outbreaks in mink farms in several countries. SARS-CoV-2 can change while infecting minks. It has been observed that these mink variants are able to transmit back into humans through close contact with the mink. Preliminary results suggest that the mink variants infecting humans appear to have the same properties as other variants of the SARS-CoV-2 virus.Further research is needed to better understand whether these mink variants will cause sustained transmission among humans and could have a negative impact on countermeasures, such as vaccines.See WHOs Disease Outbreak News on DenmarkWHO works closely with other organizations, such as the Food and Agriculture Organization of the United Nations, and the World Organisation for Animal Health, to evaluate situations of SARS-CoV-2 in animals and transmission occurring between animals and humans."
,World Health Organization,3/29/2021,What can staff do to stay safe while working at a hotel or other accommodation establishment?,"Everyone should follow basic precautions: Wash all parts of your hands frequently (at least 20 seconds if using an alcohol-based hand rub, and at least 40 seconds with soap and water), including after exchanging objects such as money or credit cards with guests.Cover a cough or sneeze with a bent elbow or tissue and throw away the tissue in a closed bin.Maintain at least a 1 metre distance from other staff and guests. This includes avoid hugging, kissing, or shaking hands. If you cant guarantee the distance, wear a fabric mask. Be sure to check local and national guidelines on the use of masks. Staying behind plexiglass boards at reception and concierge desks can prevent droplet transmission. Teleworking may be a possibility for some jobs, which can help reduce physical contact with others."
,World Health Organization,3/29/2021,Should staff wear a mask while working?,"In areas where the virus that causes COVID-19 is circulating, staff aged 60 or over, or who have any underlying health conditions such as heart disease, diabetes or lung cancer, should wear a medical mask because of their higher risk of getting seriously ill from COVID-19. Staff under the age of 60 and who are in general good health can wear fabric masks when they cannot guarantee at least a 1 metre distance from others. This is particularly important for staff who are in close contact or potential close contact with others. Everyone should follow local policies and regulations."
,World Health Organization,3/29/2021,What should staff do if a guest becomes sick at an accommodation establishment?,"If a guest at the accommodation develops symptoms of COVID-19, such as fever, dry cough or tiredness, staff at the accommodation establishment should contact the local health authority and follow their instructions. The sick person should be isolated in a room, alone, or at least 1 metre away from others, according to local health authorities instructions. No visitors should be permitted to enter the room occupied by the affected guest. Staff should also move people traveling with the sick person to a different room, if possible. It is usually the relevant public health authority, not the management of the hotel and accommodation establishment, which has the authority to demand sick guests to temporarily remain in their room or to prevent them from receiving visits from other guests. National law will guide the rights of the guests to refuse or not the recommended measures.Staff entering the room of an ill person should maintain at least a 1 metre distance from the ill person, and request that the ill person put on a medical mask. If staff need to assist an ill guest within a 1 metre distance, they should clean their hands before putting on appropriate personal protective equipment (medical mask and eye protection, gloves and isolation gown), and clean their hands after providing assistance. Training should be provided on how to avoid contaminating themselves."
,World Health Organization,3/29/2021,What should staff do if they have symptoms?,"If staff develop COVID-19 symptoms while at work, such as fever, dry cough or tiredness, they should immediately stop working, put on a medical mask and isolate in a suitable room while medical services are notified. Disposable tissues and an appropriate waste bin with a lid should be available in the designated isolation area while waiting for medical assessment or transfer to an assessment facility.If staff develop symptoms while at home, they should stay at home and seek medical attention, following instructions from a health worker that will include a period of time for self-isolation away from others, including family members, according to local guidance. The staff member should inform the management accordingly."
,Centers for Disease Control and Prevention,3/30/2021,What is COVID-19?,"COVID-19 is a new disease, caused by a novel (or new) coronavirus that has not previously been seen in humans. Because it is a new virus, scientists are learning more each day. Although most people who have COVID-19 have mild symptoms, COVID-19 can also cause severe illness and even death. Some groups, including older adults and people who have certain underlying medical conditions, are at increased risk of severe illness."
,Centers for Disease Control and Prevention,3/30/2021,"Why is the disease being called coronavirus disease 2019, COVID-19?","On February 11, 2020 the World Health Organization announcedan official name for the disease that is causing the 2019 novel coronavirus outbreak, first identified in Wuhan China. The new name of this disease is coronavirus disease 2019, abbreviated as COVID-19. In COVID-19, CO stands for corona, VI for virus, and D for disease. Formerly, this disease was referred to as 2019 novel coronavirus or 2019-nCoV. "
,Centers for Disease Control and Prevention,3/30/2021,How does the virus spread?,"COVID-19 is thought to spread mainly through close contact from person to person, including between people who are physically near each other (within about 6 feet). People who are infected but do not show symptoms can also spread the virus to others. Cases of reinfection with COVID-19 have been reported but are rare. We are still learning about how the virus spreads and the severity of illness it causes.COVID-19 spreads very easily from person to person. How easily a virus spreads from person to person can vary. The virus that causes COVID-19 appears to spread more efficiently than influenza but not as efficiently as measles, which is among the most contagious viruses known to affect people."
,Centers for Disease Control and Prevention,3/30/2021,Will warm weather stop the outbreak of COVID-19?,"It is not yet known whether weather and temperature affect the spread of COVID-19. Some other viruses, like those that cause the common cold and flu, spread more during cold weather months but that does not mean it is impossible to become sick with these viruses during other months. There is much more to learn about the transmissibility, severity, and other features associated with COVID-19 and investigations are ongoing."
,Centers for Disease Control and Prevention,3/30/2021,What is community spread?,"Community spread means people have been infected with the virus in an area, including some who are not sure how or where they became infected. Each health department determines community spread differently based on local conditions. "
,Centers for Disease Control and Prevention,3/30/2021,Can mosquitoes or ticks spread the virus that causes COVID-19?,"At this time, CDC has no data to suggest that this new coronavirus or other similar coronaviruses are spread by mosquitoes or ticks. The main way that COVID-19 spreads is from person to person. "
,Centers for Disease Control and Prevention,3/30/2021,Is it recommended to wear masks to prevent COVID-19?,"Yes. It is recommended that people wear masks in public settings, at events and gatherings, and anywhere they will be around other people. When you wear a mask, you protect others as well as yourself. Masks work best when everyone wears one. A mask is NOT a substitute for social distancing. Masks should still be worn in addition to staying at least 6 feet apart, especially when indoors around people who don t live in your household.Effective February 2, 2021, masks are requiredon planes, buses, trains, and other forms of public transportation traveling into, within, or out of the United States and in U.S. transportation hubs such as airports and stations.While masks are strongly encouraged to reduce the spread of COVID-19, CDC recognizes there are specific instances when wearing a mask may not be feasible. In these instances, adaptations and alternativesshould be considered whenever possible."
,Centers for Disease Control and Prevention,3/30/2021,Is it safe to get care for my other medical conditions during this time?,"Continue taking care of your health and wellness. Continue your medications,and do not change your treatment plan without talking to your healthcare provider. Continue to manage your diseasethe way your healthcare provider has told you. Have at least a 30-day supplyof all prescription and non-prescription medications. Talk to your healthcare provider about whether your vaccinations and other preventative services are up to date. Call your healthcare providerif you have any concernsabout your medical conditions, or if you get sick.to find out about different ways you can connect with your healthcare provider for chronic disease management or other conditions.If you must visit in-person, protect yourself and others. Do not delay getting emergency care for your health problems orany underlying medicalcondition that requires immediate attention. If you need emergency help, call 911. Emergency departments have infection prevention plans to protect you from getting COVID-19 if you need care for your medical condition.Continue to practice everyday prevention. Wash your hands often, avoid close contact, wear a mask, cover coughs and sneezes, and clean and disinfect frequently touched surfaces often.When picking up medicines, use drive-thru windows, curbside services (prescriptions brought to you in your car), mail-order, or other delivery services."
,Centers for Disease Control and Prevention,3/30/2021,"Am I at risk for COVID-19 from mail, packages, or products?","Coronaviruses are thought to be spread most often by respiratory droplets. Although the virus can survive for a short period on some surfaces, it is unlikely to be spread from domestic or international mail, products, or packaging. However, it may be possible that people can get COVID-19 by touching a surface or object that has the virus on it and then touching their own mouth, nose, or possibly their eyes, but this is not thought to be the main way the virus spreads."
,Centers for Disease Control and Prevention,3/30/2021,Is it okay for me to donate blood?,"In healthcare settings across the United States, donated blood is a lifesaving, essential part of caring for patients. The need for donated blood is constant, and blood centers are open and in urgent need of donations. CDC encourages people who are well to continue to donate blood if they are able, even if they are practicing social distancing because of COVID-19. CDC is supporting blood centers by providing recommendations that will keep donors and staff safe. Examples of these recommendations include spacing donor chairs 6 feet apart, thoroughly adhering to environmental cleaning practices, and encouraging donors to make donation appointments ahead of time."
,Centers for Disease Control and Prevention,3/30/2021,Should contact lens wearers take special precautions to prevent COVID-19?,"Currently, there is no evidence to suggest contact lens wearers are more at risk for acquiring COVID-19 than eyeglass wearers.Contact lens wearers should continue topractice safe contact lens wear and care hygiene habitsto help prevent against transmission of any contact lens-related infections, such as always washing hands with soap and water before handling lenses.People who are healthy can continue to wear and care for their contact lenses as prescribed by their eye care professional.Find more information abouthow coronavirus spreadsandhow to protect yourself.VisitCDC s contact lens websitefor more information on healthy contact lens wear and care."
,Centers for Disease Control and Prevention,3/30/2021,Is contact lens disinfecting solution effective against COVID-19?,"Hydrogen peroxide-based systemsfor cleaning, disinfecting, and storing contact lenses should be effective against the virus that causes COVID-19.For other disinfection methods, such as multipurpose solution and ultrasonic cleaners, there is currently not enough scientific evidence to determine efficacy against the virus.Always use solutionto disinfect your contact lenses and case to kill germs that may be present.Handle your lenses over a surface that has been cleaned and disinfected."
,Centers for Disease Control and Prevention,3/30/2021,Should I use soap and water or hand sanitizer to protect against COVID-19?,"Handwashing is one of the best ways to protect yourself and your family from getting sick. Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food. If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol."
,Centers for Disease Control and Prevention,3/30/2021,What cleaning products should I use to protect against COVID-19?,"Clean and disinfect frequently touched surfaces such as tables, doorknobs, light switches, countertops, handles, desks, phones, keyboards, toilets, faucets, and sinks. If surfaces are dirty, clean them using detergent or soap and water prior to disinfection. To disinfect, most common Environmental Protection Agency-registered household disinfectants will work. "
,Centers for Disease Control and Prevention,3/30/2021,What should I do if I get sick or someone in my house gets sick?,"Most people who get COVID-19 will be able to recover at home.CDC has directionsfor people who are recovering at home and their caregivers, including:Stay home when you are sick, except to get medical care.Use a separate room and bathroom for sick household members (if possible).Wash your hands often with soap and water for at least 20 seconds, especially after blowing your nose, coughing, or sneezing; going to the bathroom; and before eating or preparing food.If soap and water are not readily available, use an alcohol-based hand sanitizer with at least 60% alcohol. Always wash hands with soap and water if hands are visibly dirty.Provide your sick household member with clean disposable facemasks to wear at home, if available, to help prevent spreading COVID-19 to others. Everyone else should wear masks at home. Masks offer some protection to the wearer and are also meant to protect those around the wearer, in case they are infected with the virus that causes COVID-19. ‹Clean the sick room and bathroom, as needed, to avoid unnecessary contact with the sick person.However, some people may need emergency medical attention. Watch for symptoms and learn when to seek emergency medical attention.When to Seek Emergency Medical AttentionLook foremergency warning signs*for COVID-19. If someone is showing any of these signs,seek emergency medical careimmediatelyTrouble breathingPersistent pain or pressure in the chestNew confusionInability to wake or stay awakePale, gray, or blue-colored skin, lips, or nail beds, depending on skin tone*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.Call 911 or call ahead to your local emergency facility:Notify the operator that you are seeking care for someone who has or may have COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,What should I do if I have had close contact with someone who has COVID-19?,"The best way to protect yourself and others is to stay home for 14 days if you think you ve been exposed to someone who has COVID-19. Check your local health department s website for information about options in your area to possibly shorten this quarantine period.Be alert for symptoms. Watch for fever, cough, shortness of breath, or other symptomsof COVID-19.If possible, stay away from others, especially people who are at higher risk for getting very sick from COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,What is the risk of my child becoming sick with COVID-19?,"Children can be infected with the virus that causes COVID-19 and can get sick with COVID-19. Most children with COVID-19 have mild symptoms or they may have no symptoms at all ( asymptomatic ). Fewer children have been sick with COVID-19 compared to adults. However, children with certain underlying medical conditionsand infants (less than 1 year old) might be at increased risk for severe illness from COVID-19. Some children have developed a rare but serious disease that is linked to COVID-19 called multisystem inflammatory syndrome (MIS-C)."
,Centers for Disease Control and Prevention,3/30/2021,Should children wear masks?,"In general, children 2 years and older should wear a mask. Masks offer some protection to you and are also meant to protect those around you, in case you are unknowingly infected with the virus that causes COVID-19. However, CDC recognizes that wearing masks may not be possible in every situation or for some people. Appropriate and consistent use of masks may be challenging for some children, such as children with certain disabilities, including cognitive, intellectual, developmental, sensory and behavioral disorders."
,Centers for Disease Control and Prevention,3/30/2021,What is multisystem inflammatory syndrome in children (MIS-C)?,"Multisystem inflammatory syndrome in children (MIS-C) is a serious condition associated with COVID-19 where different body parts can become inflamed, including the heart, lungs, kidneys, brain, skin, eyes, or gastrointestinal organs. "
,Centers for Disease Control and Prevention,3/30/2021,Can my child hang out with their friends during the pandemic?,"The more people your child interacts with, and the longer that interaction, the higher the risk of COVID-19 spread. While your child may spend time with other people when they return to childcare or school settings, reducing the number of people your child interacts with outside people within your household, childcare facility or school can reduce the risk of getting and spreading the virus that causes COVID-19. CDC recommends children 2 years of age and older wear a maskin public settings or when around people who do not live in their household, especially when it is difficult to stay at least 6 feet from others. However, masks should not be a substitute for other preventive measures such as frequent hand washing and staying at least 6 feet away from others."
,Centers for Disease Control and Prevention,3/30/2021,Can my child spend time with older adults and people with chronic medical conditions?,"Older adults and people who have certain underlying medical conditionsare at increased risk for getting severely ill from COVID-19.If you live with people at increased risk for severe illness from COVID-19, consider separating your child from them if your child has frequent interactions with those outside the household (like at schools or other settings).Consider postponing visits or trips to see grandparents, older family members, or family members with underlying medical conditions while there are high levels of transmission (or high number of COVID-19 cases) in your community.If your child does visit someone who is over age 65 or has an underlying medical condition that puts that them at risk of severe illness, your child should stay at least 6 feet away from that person. Everyone should wear a mask when visiting. Masks should not be placed on children younger than 2 years old, anyone who has trouble breathing or is unconscious, and anyone who is incapacitated or otherwise unable to remove the mask without assistance.Take steps to help protect your child from COVID-19in order to reduce the risk of your child spreading the virus that causes COVID-19 to others especially people at increased risk of severe illness."
,Centers for Disease Control and Prevention,3/30/2021,My child has an underlying medical condition. What additional steps should my family take?,"People of any age who have certain underlying medical conditionsmight be at increased risk for severe illness from COVID-19. In addition to following the recommendations to prevent getting sick, families can take steps recommended for children with underlying conditions.Consider identifying potential alternative caregivers, in case you or other regular caregivers become sick and are unable to care for your child. If possible, these alternative caregivers should not be at increased risk for severe illness from COVID-19 For more information, see Sick Parents and Caregivers. Make sure these caregivers take extra precautions if your child has a disability.If your child receives any support care services in the home, such as services from personal care attendants, direct support professionals, or therapists, make plans for what you will do if your child s direct care providers or anyone in your family gets sick. "
,Centers for Disease Control and Prevention,3/30/2021,"Should my infant or child be tested for SARS-CoV-2, the virus that causes COVID-19?","Not everyone needs to be tested. Your infant or child may need to be tested for SARS-CoV-2 if your child:Hassymptoms of COVID-19, orHadclose contact(within 6 feet of an infected person for a cumulative total of 15 minutes or more over a 24-hour period) with someone who tested positive for SARS-CoV-2, the virus that causes COVID-19, orTook part in activities that put them at higher risk for COVID-19, because they could not stay at least 6 feet apart as needed (such as travel, attending large social or mass gatherings, or being in a crowded or poorly ventilated indoor setting), orWas asked or referred to get testing by their state, tribal, local, or territorial health department or healthcare provider.Daycare and school settings that use multiple prevention strategies, such as universal and correct use of masks and keeping people at least 6 feet apart as much as possible, are not considered higher risk settings. If your child attends daycare or in-person school, they should be tested only if they meet one of the above criteria.If your child is tested because they have COVID-19 symptoms or have been in close contact with someone with COVID-19,keep your child home until they can safely end isolation or quarantine and follow the advice of your healthcare provider or a public health professional. If your child has recovered from COVID-19 in the past 3 months and does not have symptoms of COVID-19, they do not need to be retested for up to 3 months from their last positive test result.Some schools may choose to use screening testing of students as a way to find asymptomatic cases and prevent spread of COVID-19. Screening testing is use of SARS-CoV-2tests to identify cases of COVID-19 in people without symptoms or without known close contact with someone with COVID-19. Your child s school should communicate any plans about screening testing with you before your child is tested. School-based screening testing should not be conducted without consent from the person to be tested (for adults) or from a parent or legal guardian (for minor students).Children who have recovered from COVID-19 in the past 3 months should not undergo screening testing."
,Centers for Disease Control and Prevention,3/30/2021,How can I prepare for an outbreak in my area?,"Create a household plan of action to help protect your health and the health of those you care about in the event of an outbreak of COVID-19 in your community:Talk with the people who need to be included in your plan, and discusswhat to do if a COVID-19 outbreak occurs in your community.Plan ways to care for those who might be at greater risk for serious complications.Make sure they have access to 2 weeks of medications and supplies in case you need to stay home for prolonged periods of time.Get to know your neighbors and find out if your neighborhood has a website or social media page to stay connected.Create a list of local organizations that you and your household can contact in the event you need access to information, healthcare services, support, and resources.Create an emergency contact list of family, friends, neighbors, carpool drivers, health care providers, teachers, employers, the local public health department, and other community resources."
,Centers for Disease Control and Prevention,3/30/2021,How can I prepare for COVID-19 at work?,"Plan for potential changes at your workplace. Talk to your employer about their emergency operations plan, including sick-leave policies and telework options. Learn how businesses and employers can plan for and respond to COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,Should I make my own hand sanitizer if I can't find it in the stores?,"CDC does not encourage the production and use of homemade hand sanitizer products because of concerns over the correct use of the ingredientsand the need to work under sterile conditions to make the product. Local industries that are looking into producing hand sanitizer to fill in for commercial shortages can refer to theWorld Health Organization guidance.Organizations should revert to the use of commercially produced, FDA-approved product once such supplies again become available.To be effective against killing some types of germs,hand sanitizersneed to have a strength of at least 60% alcohol and be used when hands are not visibly dirty or greasy.Do not rely on Do It Yourself or DIY recipes based solely on essential oils or formulated without correct compounding practices.Do not use hand sanitizer to disinfect frequently touched surfaces and objects."
,Centers for Disease Control and Prevention,3/30/2021,What are the symptoms and complications that COVID-19 can cause?,"People with COVID-19 have reported a wide range of symptoms from mild symptoms to severe illness. Symptoms may appear 2-14 days after exposure to the virus. If you have fever, cough, or other symptoms, you might have COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,When should I seek emergency care if I have COVID-19?,"Look for emergency warning signs for COVID-19. If someone is showing any of these signs, seek emergency medical care immediatelyTrouble breathingPersistent pain or pressure in the chestNew confusionInability to wake or stay awakePale, gray, or blue-colored skin, lips, or nail beds, depending on skin tone*This list is not all possible symptoms. Please call your medical provider for any other symptoms that are severe or concerning to you.Call 911 or call ahead to your local emergency facility: Notify the operator that you are seeking care for someone who has or may have COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,Is it possible to have the flu and COVID-19 at the same time?,"Yes. It is possible to test positive for flu (as well as other respiratory infections) and COVID-19 at the same time. Because some of the symptoms of flu and COVID-19 are similar, it may be hard to tell the difference between them based on symptoms alone. Testing may be needed to help confirm a diagnosis.The best way to prevent seasonal flu is to get vaccinated every year. Flu vaccines will not prevent COVID-19, but they will reduce your chances of getting flu. "
,Centers for Disease Control and Prevention,3/30/2021,Is at-home specimen collection or testing available?,Yes. At-home testing and collection allow you to collect a specimen at home and either send it to a testing facility or preform the test at home.You and your healthcare provider might consider either an at-home collection kit or an at-home test if you have signs and symptoms of COVID-19 or if you can t get testing at a local healthcare facility.
,Centers for Disease Control and Prevention,3/30/2021,Should I be tested for a current infection?,"The following should be tested for current infection:People who have symptomsof COVID-19.Most people who have had close contact(within 6 feet for a total of 15 minutes or more over a 24-hour period) with someone with confirmed COVID-19.Fully vaccinated people with no COVID-19 symptoms do not need to be tested following an exposure to someone with COVID-19.People who have tested positive for COVID-19 within the past 3 months and recovered do not need to get tested following an exposure as long as they do not develop new symptoms.People who have taken part in activities that put them at higher risk for COVID-19 because they cannot physically distance as needed to avoid exposure such as travel, attending large social or mass gatherings, or being in crowded or poorly-ventilated indoor settings.People who have been asked or referred to get tested by their healthcare provider, or state, tribal, local, or territorial health department.CDC recommends that anyone with any signs or symptoms of COVID-19get tested, regardless of vaccination status or prior infection. If you get tested because you have symptoms or were potentially exposed to the virus, you should stay away from others pending test results and follow the advice of your health care provider or a public health professional."
,Centers for Disease Control and Prevention,3/30/2021,How can I get tested for a current infection (viral test) and what does my test mean?,"A viral test checks specimens from your nose or your mouth to find out if you are currently infected with SARS-CoV-2, the virus that causes COVID-19.Contact your healthcare provider or visit your state, tribal, local, and territorial health department s website to find the latest local information ontesting. The type of viral COVID-19tests offereddiffer by location. You and your healthcare provider might also consider either an at-home collection kitor anat-home test if you have signs and symptoms of COVID-19 and if you are not able to be tested by a healthcare provider or public health official.While waiting for test results, you should self-quarantine at home and stay awayfrom others, including those living in your household. If your test results are positive, isolate yourself. If you have symptoms of COVID-19 or you have been in close contact with someone with COVID-19 and are not tested, it is still important to stay home. "
,Centers for Disease Control and Prevention,3/30/2021,How can I get tested for a past infection (antibody test) and what does my test mean?,"Antibody tests for COVID-19 are available through healthcare providers and laboratories. Check with your healthcare provider to see if they offer antibody tests and whether you should get one.A positive test result shows you might have antibodies from an infection with the virus that causes COVID-19. However, there is a chance a positive result means that you have antibodies from an infection with a virus from the same family of viruses (called coronaviruses), such as the one that causes the common cold.Having antibodies to the virus that causes COVID-19 might provide some protection from getting infected with the virus again. If it does, we do not know how much protection the antibodies might provide or how long this protection might last. Confirmed and suspected cases of reinfection have been reported, but remain rare.You should continue to protect yourself and otherssince you could get infected with the virus again.If you test negative, you might not have ever had COVID-19. Talk with your healthcare provider about your test result and the type of test you took to understand what your result means.Regardless of whether you test positive or negative, the results do not confirm whether or not you are able to spread the virus that causes COVID-19. Until we know more, continue to take steps to protect yourself and others."
,Centers for Disease Control and Prevention,3/30/2021,Can someone test negative and later test positive on a viral test for COVID-19?,"Yes, it is possible. You may test negative if the sample was collected early in your infection and test positive later during this illness. You could also be exposed to COVID-19 after the test and get infected then. Even if you test negative, you still should take steps to protect yourself and others. "
,Centers for Disease Control and Prevention,3/30/2021,Who is at increased risk for developing severe illness from COVID-19?,"People at increased risk include:Older adults, People of all ages with certain underlying medical conditions, Pregnant people are also at increased risk for severe illness from COVID-19. Long-standing systemic health and social inequities have put many people from racial and ethnic minority groupsat increased risk of getting sick and dying from COVID-19.In addition to those at increased risk, there are certain groups of people who require extra precautions during thepandemic."
,Centers for Disease Control and Prevention,3/30/2021,Are there any medications I should avoid taking if I have COVID-19?,"Currently, there is no evidence to suggest that taking any specific medications, like blood pressure medication or ibuprofen, leads to more severe illness from COVID-19.Continue to take your medications and to follow your treatment plan as prescribed by your healthcare provider. Any changes to your medications should only be made after talking with your healthcare provider.Contact your healthcare provider if you have questions or concerns."
,Centers for Disease Control and Prevention,3/30/2021,Are people with disabilities at higher risk?,"Adults with disabilities are more likely to have an underlying medical condition that may put them at increased risk of severe illness from COVID-19 including, but not limited to, heart disease, stroke, diabetes, chronic kidney disease, cancer, high blood pressure, and obesity. In addition, having a disability may make it harder to practice social distancing, wear a mask, and practice hand hygiene."
,Centers for Disease Control and Prevention,3/30/2021,What is the difference between COVID-19 and seasonal allergies?,"COVID-19 is a contagious respiratory illness caused by infection with a new coronavirus (called SARS-CoV-2, the virus that causes COVID-19). Seasonal allergies triggered by airborne pollen can lead to seasonal allergic rhinitis, which affects the nose and sinuses, and seasonal allergic conjunctivitis, which affects the eyes.COVID-19 and seasonal allergies share many symptoms, but there are some key differences between the two. For example, COVID-19 can cause fever, which is not a common symptom of seasonal allergies. The image below compares symptoms caused by allergies and COVID-19.Because some of the symptoms of COVID-19 and seasonal allergies are similar, it may be difficult to tell the difference between them, and you may need to get a test to confirm your diagnosis508 version*Seasonal allergies do not usually cause shortness of breath or difficulty breathing, unless a person has a respiratory condition such as asthma that can be triggered by exposure to pollen.This is not a complete list of all possible symptoms of COVID-19 or seasonal allergies. Symptoms vary from person to person and range from mild to severe. You can have symptoms of both COVID-19 and seasonal allergies at the same time."
,Centers for Disease Control and Prevention,3/30/2021,Does having seasonal allergies increase my risk of contracting COVID-19 or having more severe symptoms if I do contract COVID-19?,"There is not enough scientific information at this time to know whether having seasonal allergies puts you at higher risk of contracting COVID-19 or having more severe symptoms if you do contract COVID-19. We do know that older adults and people who have severe underlying medical conditions like obesity, diabetes, or heart or lung disease are at higher risk for developing more serious complications when they have COVID-19. "
,Centers for Disease Control and Prevention,3/30/2021,Will I be protected from seasonal allergies if I wear a mask?,"CDC recommends wearing masks to slow the spread of COVID-19. Everyone should wear a mask covering unless they are under 2 years of age, have breathing problems, or are unconscious or incapacitated and would need assistance removing a mask. Masks also offer some protection against seasonal allergies because they can prevent some larger particles from being inhaled. However, if you have seasonal allergies, masks should not be your only protection against pollen exposure because smaller particles can still get through the covering and be inhaled.Wash your masks after each use, particularly if you suffer from seasonal allergies, because the covering may carry particles such as pollen. "
,Centers for Disease Control and Prevention,3/30/2021,How can I protect myself from seasonal allergies?,"The best way to protect yourself against seasonal allergies is to reduce your exposure to pollen. During high pollen days:Limit your time outdoors and seek indoor spaces with clean air.Create a cleaner air space at home to protect yourself from outdoor air irritants during the COVID-19 pandemic. Use a portable air cleaner in one or more rooms. Portable air cleaners work best when run continuously with doors and windows closed.Do-it-yourself box fanfiltration units are a low-cost filtration alternative, but they should never be left unattended.Keep your cleaner air space a comfortable temperature by using air conditioners, heat pumps, fans, and window shades.If you have a forced air system in your home, consult a qualified heating, ventilation, and air conditioning (HVAC) professional about different filters (HEPA or MERV-13 or higher) and settings ( Recirculate  and On  rather than Auto ) that can be used to reduce indoor air irritants.If outdoors, avoid activities that stir up pollen, such as mowing lawns or raking leaves. When you return indoors, take a shower and change your clothes.The EPA website on indoor air and COVID-19and the EPA Guide to Air Cleaners in the Home provide additional information on improving indoor air quality. You can also find out the daily pollen levels in your area by checking local weather forecasts and pollen counting stations. "
,Centers for Disease Control and Prevention,3/30/2021,What is contact tracing?,"Contact tracing has been used for decades by state and local health departments to slow or stop the spread of infectious diseases. Contact tracing slows the spread of COVID-19 by: Letting people know they may have been exposed to COVID-19 and should monitor their health for signs and symptoms of COVID-19. Helping people who may have been exposed to COVID-19 get tested. Asking people to self-isolate if they have COVID-19 or self-quarantine if they are a close contact of someone with COVID-19. During contact tracing, the health department staff will not ask you forMoney, Social Security number, Bank account information, Salary information, Credit card numbers"
,Centers for Disease Control and Prevention,3/30/2021,What will happen with my personal information during contact tracing?,"Discussions with health department staff are confidential. This means that your personal and medical information will be kept private and only shared with those who may need to know, like your health care provider.If you have been diagnosed with COVID-19, your name will not be shared with those you came in contact with. The health department will only notify people you were in close contact with that they might have been exposed to COVID-19. Each state and jurisdiction use their own method for collecting and protecting health information. To learn more, contact your state or local health department.You may also be interested in: If I participate contact tracing for COVID-19 using a digital tool, is my personal health information secure?"
,Centers for Disease Control and Prevention,3/30/2021,Who is considered a close contact to someone with COVID-19?,"For COVID-19, a close contact is anyone who was within 6 feet of an infected person for a total of 15 minutes or more. An infected person can spread COVID-19 starting 48 hours (or 2 days) before the person has any symptoms or tests positive for COVID-19."
,Centers for Disease Control and Prevention,3/30/2021,Am I considered a close contact if I was wearing a mask?,"Yes, you are still considered a close contact even if you were wearing a mask while you were around someone with COVID-19. Although masks provide some measure of protection to the wearer, there is always the chance that you have been infected."
,Centers for Disease Control and Prevention,3/30/2021,"If I am a close contact, will I be tested for COVID-19?","If you have been in close contact with someone who has COVID-19, you should be tested, even if you do not have symptoms of COVID-19. The health department may be able to provide resources for testing in your area.While you are waiting for your COVID-19 test result, stay home away from others (self-quarantine) and monitor your health for symptoms of COVID-19 to protect your friends, family, and others from possibly getting COVID-19.If your test is positive, you should continue to stay home and self-isolate away from others and monitor your health. If you have symptoms of COVID-19 and they worsen or become severe, you should seek emergency medical care. Severe symptoms include trouble breathing, persistent pain or pressure in the chest, confusion, inability to wake or stay awake, or pale, gray, or blue-colored skin, lips, or nail beds, depending on skin tone. Someone from the health department may call you toCheck on your health,Discuss who you have been around, andAsk where you have spent time while you may have been able to spread COVID-19 to others.The best way to protect yourself and others is to stay home for 14 days if you think you ve been exposed to someone who has COVID-19. Check your local health department s website for information about options in your area to possibly shorten this quarantine period.If your test is negative and you don t have symptoms, you should continue to stay home and self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. This is important because symptoms can appear up to 14 days after you ve been exposed and are infected. A negative result before the end of your quarantine period does not rule out possible infection. Additionally, you do not need a repeat test unless you develop symptoms, or if you require a test to return to work.If yourtest is negativeand youhave symptoms,you should continue to self-quarantine away from others for 14 days after your last exposure to COVID-19 and follow all recommendations from the health department. Additional medical consultation and a second test may be needed if your symptoms do not improve."
